oyuncu_yas,oyuncu_gunluk_sure,oyuncu_harcama_butcesi,oyuncu_maglubiyet_tepkisi,oyuncu_uyku_feragati,oyuncu_ruh_hali,oyuncu_pegi_dikkat,oyuncu_platform_kisitlama_gorus,oyuncu_haftalik_oyun_gunu,oyuncu_ebeveyn_onay_gorus,oyuncu_cinsiyet_Erkek,oyuncu_cinsiyet_Kadın,oyuncu_harcama_etkisi_limit_asar_sarsmaz,oyuncu_harcama_etkisi_butce_zorlar,oyuncu_harcama_etkisi_hic_harcamaz,oyuncu_harcama_etkisi_pisman_gizler,oyuncu_stres_etkisi_notr,oyuncu_stres_etkisi_rahatlatir,oyuncu_stres_etkisi_oynamazsa_gergin,oyuncu_stres_etkisi_tam_rahatlatir,oyuncu_stres_etkisi_rekabet_stresi,oyuncu_harcama_amaci_yapmaz,oyuncu_harcama_amaci_hizli_ilerleme_guc,oyuncu_harcama_amaci_dogrudan_esya,oyuncu_harcama_amaci_sansa_dayali_kutu,oyuncu_motivasyon_kacis,oyuncu_motivasyon_rekabet,oyuncu_motivasyon_eglence,oyuncu_motivasyon_sosyallesme,oyuncu_oyun_turu_basit_eglence,oyuncu_oyun_turu_hayatta_kalma,oyuncu_oyun_turu_hikaye_rpg,oyuncu_oyun_turu_rekabetci_nisanci,oyuncu_oyun_turu_spor_yaris,oyuncu_oyun_turu_strateji_moba,oyuncu_cihaz_pc,oyuncu_cihaz_mobil,oyuncu_cihaz_konsol,Persona_Grubu,Persona_Adi,Persona_Analiz_Tavsiye
2,1,0,1,0,0,0,0,4,Kesinlikle destekliyorum,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,1,3,1,1,2,3,3,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
0,1,1,0,0,0,0,0,0,Kesinlikle destekliyorum,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
1,1,1,0,1,0,1,4,1,Destekliyorum,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
0,1,0,2,0,1,3,4,1,Kesinlikle destekliyorum,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,Toksik / Rekabetçi Oyuncu,Psikolojik yıkım ve bağımlılık riski en yüksektir. Sohbet filtreleri ve katı süre kısıtlaması gerekir.
0,0,0,1,0,0,3,2,0,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,1,2,2,1,2,2,3,Kesinlikle destekliyorum,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
0,0,0,0,1,0,0,0,1,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,0,2,1,2,2,3,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,Toksik / Rekabetçi Oyuncu,Psikolojik yıkım ve bağımlılık riski en yüksektir. Sohbet filtreleri ve katı süre kısıtlaması gerekir.
0,1,2,0,1,1,2,2,2,Kararsızım,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
1,2,0,0,1,2,2,3,1,Kararsızım,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,2,0,1,3,2,2,3,4,Destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,Toksik / Rekabetçi Oyuncu,Psikolojik yıkım ve bağımlılık riski en yüksektir. Sohbet filtreleri ve katı süre kısıtlaması gerekir.
0,1,0,0,1,0,0,4,2,Kararsızım,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
2,2,2,0,3,0,2,4,4,Kesinlikle destekliyorum,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4,Dürtüsel / Pay-to-Win Oyuncu,Finansal yıkım riski en yüksek gruptur. Ebeveyn denetimi üzerinden kesin harcama limiti zorunlu kılınmalıdır.
0,3,0,2,0,1,0,2,4,Kararsızım,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,0,0,0,0,0,2,Kesinlikle destekliyorum,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,2,0,0,2,0,1,Kesinlikle destekliyorum,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,0,0,2,0,0,3,2,1,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
1,2,3,3,0,1,2,4,3,Destekliyorum,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
0,2,0,1,1,1,2,3,4,Kararsızım,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,2,2,2,3,1,1,4,4,Kesinlikle desteklemiyorum,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,Dürtüsel / Pay-to-Win Oyuncu,Finansal yıkım riski en yüksek gruptur. Ebeveyn denetimi üzerinden kesin harcama limiti zorunlu kılınmalıdır.
0,0,0,1,0,0,0,2,1,Kararsızım,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
1,1,1,3,0,0,0,4,4,Kesinlikle destekliyorum,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
0,1,3,3,2,1,2,4,3,Kesinlikle desteklemiyorum,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,Dürtüsel / Pay-to-Win Oyuncu,Finansal yıkım riski en yüksek gruptur. Ebeveyn denetimi üzerinden kesin harcama limiti zorunlu kılınmalıdır.
0,2,2,1,1,0,2,4,4,Kararsızım,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
1,1,1,1,2,1,0,1,3,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
0,1,1,0,0,1,2,4,2,Destekliyorum,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
1,0,0,0,0,0,3,2,0,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,2,0,0,0,0,1,Kesinlikle destekliyorum,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,0,1,0,1,0,3,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,0,0,0,0,0,1,3,1,Destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,2,0,3,1,0,0,4,2,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
1,0,0,2,0,0,0,0,1,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
3,0,0,0,0,0,0,0,0,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
3,0,0,0,0,0,3,0,0,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,0,0,0,0,0,0,Kesinlikle destekliyorum,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,1,2,1,1,2,4,4,Kesinlikle destekliyorum,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
1,1,0,3,4,0,2,2,3,Kesinlikle destekliyorum,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,Toksik / Rekabetçi Oyuncu,Psikolojik yıkım ve bağımlılık riski en yüksektir. Sohbet filtreleri ve katı süre kısıtlaması gerekir.
0,0,0,1,1,1,1,4,1,Kararsızım,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,2,1,3,0,1,1,2,1,Desteklemiyorum,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,Koleksiyoner / Premium Oyuncu,Toksisite ve bağımlılık riski minimumdur. Hesap çalınma riskine karşı iki adımlı doğrulama (2FA) tavsiye edilir.
4,0,0,0,0,0,2,0,1,Kesinlikle destekliyorum,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
3,0,0,0,0,0,0,0,0,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,2,2,3,2,1,2,2,3,Kesinlikle desteklemiyorum,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,Dürtüsel / Pay-to-Win Oyuncu,Finansal yıkım riski en yüksek gruptur. Ebeveyn denetimi üzerinden kesin harcama limiti zorunlu kılınmalıdır.
0,2,0,1,1,0,0,1,4,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,3,1,1,3,4,2,Destekliyorum,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
4,1,0,2,1,1,0,0,3,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,2,2,1,1,1,4,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,Toksik / Rekabetçi Oyuncu,Psikolojik yıkım ve bağımlılık riski en yüksektir. Sohbet filtreleri ve katı süre kısıtlaması gerekir.
0,1,0,1,2,1,1,4,4,Kesinlikle destekliyorum,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,Toksik / Rekabetçi Oyuncu,Psikolojik yıkım ve bağımlılık riski en yüksektir. Sohbet filtreleri ve katı süre kısıtlaması gerekir.
3,0,0,0,0,0,2,2,2,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
4,0,0,0,0,0,3,0,2,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,1,0,3,0,1,0,0,1,Destekliyorum,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,0,0,0,0,0,1,2,2,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
0,0,0,0,0,0,0,2,2,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,Odaklı / F2P Oyuncu,Sistemdeki en dengeli profildir. Mevcut ekran süresi sınırları içinde kalınarak müdahale edilmeden bırakılabilir.
