oyuncu_cinsiyet,oyuncu_yas,oyuncu_gunluk_sure,oyuncu_cihaz,oyuncu_oyun_turu,oyuncu_harcama_butcesi,oyuncu_harcama_etkisi,oyuncu_maglubiyet_tepkisi,oyuncu_motivasyon,oyuncu_stres_etkisi,oyuncu_uyku_feragati,oyuncu_ruh_hali,oyuncu_pegi_dikkat,oyuncu_platform_kisitlama_gorus,oyuncu_harcama_amaci,oyuncu_haftalik_oyun_gunu,oyuncu_ebeveyn_onay_gorus
Erkek,23-28,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",250 TL'den az,Hiç harcamam veya sınırlarımı asla aşmam.,Biraz moralim bozulur ama oyuna ara veririm.,"Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)","Oynadığım sürece rahatlarım, kafam dağıtır.",Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,"Hayır, dikkat etmiyorum",Destekliyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Destekliyorum
Erkek,18-22,3-5 saat,"Mobil Cihaz (Akıllı Telefon, Tablet)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sinirimden saatlerce bilgisayarın/telefonun başından kalkamam.,Sadece eğlenmek ve vakit geçirmek,Zorlu maçlarda veya rekabet gerektiren anlarda zaman zaman stres yaşadığım olur.,Neredeyse her gün,Çevreme karşı gergin ve tahammülsüz olurum.,Bazen,Kesinlikle desteklemiyorum,Oyun içi harcama yapmam.,Neredeyse her gün / Her gün,Destekliyorum
Erkek,18-22,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",250 - 1000 TL arası,Hiç harcamam veya sınırlarımı asla aşmam.,Biraz moralim bozulur ama oyuna ara veririm.,Rekabet etmek ve başarmak hissiyatı,"Oynadığım sürece rahatlarım, kafam dağıtır.",Nadiren (Ayda 1-2 kez),Sadece anlık olarak canım sıkılır.,"Hayır, dikkat etmiyorum",Kararsızım,Oyunda daha hızlı ilerlemek veya diğer oyunculardan güçlü olmak için.,Neredeyse her gün / Her gün,Kesinlikle destekliyorum
Erkek,18-22,1-3 saat,"Oyun Konsolu (PlayStation, Xbox, Nintendo vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sinirimden saatlerce bilgisayarın/telefonun başından kalkamam.,Sadece eğlenmek ve vakit geçirmek,"Tamamen rahatlatır, stresimi alır.",Hiçbir zaman,"Hiç etkilemez, anında unuturum.","Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Kesinlikle desteklemiyorum
Erkek,36-45,1 saatten az,"Mobil Cihaz (Akıllı Telefon, Tablet)","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Hiçbir zaman,"Hiç etkilemez, anında unuturum.","Evet, her zaman",Kesinlikle destekliyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum
Erkek,23-28,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",250 - 1000 TL arası,Bazen limitimi aşarım ama bütçemi sarsmaz.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Hiçbir zaman,"Hiç etkilemez, anında unuturum.","Evet, her zaman",Desteklemiyorum,"İçeriği belli olan, doğrudan istediğim bir eşyayı/kostümü satın almak için.",Bazen (Haftada 1-2 kez),Desteklemiyorum
Kadın,18-22,1 saatten az,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.",Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Hiçbir zaman,Sadece anlık olarak canım sıkılır.,"Hayır, dikkat etmiyorum",Kararsızım,Oyun içi harcama yapmam.,Sıklıkla (Haftada 3-4 kez),Kararsızım
Erkek,23-28,5 saatten fazla,"Mobil Cihaz (Akıllı Telefon, Tablet)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",1000 TL ve üzeri,Bazen limitimi aşarım ama bütçemi sarsmaz.,Hırslanırım ve mutlaka kazanana kadar peş peşe yeni maçlara girmeye devam ederim.,"Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)","Tamamen rahatlatır, stresimi alır.",Sıklıkla (Haftada birkaç kez),Sadece anlık olarak canım sıkılır.,Bazen,Kararsızım,"İçeriği belli olan, doğrudan istediğim bir eşyayı/kostümü satın almak için.",Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum
Erkek,18-22,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",1000 TL ve üzeri,Bazen limitimi aşarım ama bütçemi sarsmaz.,Sakince oyunu kapatır veya başka bir işe geçerim.,Rekabet etmek ve başarmak hissiyatı,"Tamamen rahatlatır, stresimi alır.",Sıklıkla (Haftada birkaç kez),"Hiç etkilemez, anında unuturum.",Bazen,Kesinlikle desteklemiyorum,"İçinden ne çıkacağı belli olmayan, şansa dayalı sürpriz kutular/paketler veya kasalar açmak için (Örn: CS Kasası, FIFA Paketi, PUBG Sandığı).",Neredeyse her gün / Her gün,Kesinlikle desteklemiyorum
Erkek,18-22,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",250 TL'den az,Bazen limitimi aşarım ama bütçemi sarsmaz.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,Bazen,Desteklemiyorum,"İçeriği belli olan, doğrudan istediğim bir eşyayı/kostümü satın almak için.",Bazen (Haftada 1-2 kez),Desteklemiyorum
Erkek,23-28,5 saatten fazla,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",250 TL'den az,Hiç harcamam veya sınırlarımı asla aşmam.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.",Sosyalleşmek ve arkadaşlarımla olmak,Zorlu maçlarda veya rekabet gerektiren anlarda zaman zaman stres yaşadığım olur.,Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,"Evet, her zaman",Kesinlikle desteklemiyorum,"İçinden ne çıkacağı belli olmayan, şansa dayalı sürpriz kutular/paketler veya kasalar açmak için (Örn: CS Kasası, FIFA Paketi, PUBG Sandığı).",Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum
Erkek,18-22,3-5 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sinirimden saatlerce bilgisayarın/telefonun başından kalkamam.,Sadece eğlenmek ve vakit geçirmek,Zorlu maçlarda veya rekabet gerektiren anlarda zaman zaman stres yaşadığım olur.,Bazen (Ayda birkaç kez),O günkü genel moralimi düşürür.,"Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,Oyun içi harcama yapmam.,Neredeyse her gün / Her gün,Destekliyorum
Erkek,18-22,3-5 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",250 TL'den az,Bazen limitimi aşarım ama bütçemi sarsmaz.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.","Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)",Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Nadiren (Ayda 1-2 kez),Sadece anlık olarak canım sıkılır.,Bazen,Kesinlikle desteklemiyorum,"İçeriği belli olan, doğrudan istediğim bir eşyayı/kostümü satın almak için.",Sıklıkla (Haftada 3-4 kez),Desteklemiyorum
Erkek,18-22,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sosyalleşmek ve arkadaşlarımla olmak,Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Hiçbir zaman,"Hiç etkilemez, anında unuturum.","Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,"İçeriği belli olan, doğrudan istediğim bir eşyayı/kostümü satın almak için.",Bazen (Haftada 1-2 kez),Kesinlikle desteklemiyorum
Erkek,18-22,3-5 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.",Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Bazen (Ayda birkaç kez),"Hiç etkilemez, anında unuturum.","Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Desteklemiyorum
Erkek,18-22,1-3 saat,"Oyun Konsolu (PlayStation, Xbox, Nintendo vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Biraz moralim bozulur ama oyuna ara veririm.,Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Nadiren (Ayda 1-2 kez),Sadece anlık olarak canım sıkılır.,"Evet, her zaman",Kesinlikle desteklemiyorum,Oyun içi harcama yapmam.,Sıklıkla (Haftada 3-4 kez),Kararsızım
Erkek,18-22,3-5 saat,"Oyun Konsolu (PlayStation, Xbox, Nintendo vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",250 - 1000 TL arası,Bazen limitimi aşarım ama bütçemi sarsmaz.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.","Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)",Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,"Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,"İçeriği belli olan, doğrudan istediğim bir eşyayı/kostümü satın almak için.",Bazen (Haftada 1-2 kez),Kararsızım
Erkek,18-22,3-5 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",250 TL'den az,Hiç harcamam veya sınırlarımı asla aşmam.,Biraz moralim bozulur ama oyuna ara veririm.,"Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)",Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,"Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,Oyunda daha hızlı ilerlemek veya diğer oyunculardan güçlü olmak için.,Sıklıkla (Haftada 3-4 kez),Kesinlikle desteklemiyorum
Erkek,23-28,3-5 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,"Evet, her zaman",Kesinlikle desteklemiyorum,Oyun içi harcama yapmam.,Neredeyse her gün / Her gün,Kesinlikle destekliyorum
Erkek,18-22,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Biraz moralim bozulur ama oyuna ara veririm.,Sadece eğlenmek ve vakit geçirmek,Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Hiçbir zaman,Sadece anlık olarak canım sıkılır.,"Hayır, dikkat etmiyorum",Desteklemiyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Desteklemiyorum
Erkek,18-22,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",250 - 1000 TL arası,Bazen limitimi aşarım ama bütçemi sarsmaz.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Tamamen rahatlatır, stresimi alır.",Sıklıkla (Haftada birkaç kez),Sadece anlık olarak canım sıkılır.,"Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,"İçeriği belli olan, doğrudan istediğim bir eşyayı/kostümü satın almak için.",Nadiren (Ayda 1-2 kez),Destekliyorum
Kadın,18-22,1-3 saat,"Mobil Cihaz (Akıllı Telefon, Tablet)","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Hırslanırım ve mutlaka kazanana kadar peş peşe yeni maçlara girmeye devam ederim.,"Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)","Oynadığım sürece rahatlarım, kafam dağıtır.",Bazen (Ayda birkaç kez),"Hiç etkilemez, anında unuturum.",PEGI nedir bilmiyorum,Desteklemiyorum,Oyun içi harcama yapmam.,Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum
Erkek,18-22,3-5 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",250 - 1000 TL arası,Bazen limitimi aşarım ama bütçemi sarsmaz.,Biraz moralim bozulur ama oyuna ara veririm.,"Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)","Oynadığım sürece rahatlarım, kafam dağıtır.",Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,Bazen,Kesinlikle desteklemiyorum,"İçinden ne çıkacağı belli olmayan, şansa dayalı sürpriz kutular/paketler veya kasalar açmak için (Örn: CS Kasası, FIFA Paketi, PUBG Sandığı).",Sıklıkla (Haftada 3-4 kez),Kesinlikle desteklemiyorum
Kadın,18-22,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.",Sadece eğlenmek ve vakit geçirmek,Zorlu maçlarda veya rekabet gerektiren anlarda zaman zaman stres yaşadığım olur.,Nadiren (Ayda 1-2 kez),"Hiç etkilemez, anında unuturum.","Evet, her zaman",Kesinlikle desteklemiyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Kararsızım
Kadın,18-22,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",250 TL'den az,Hiç harcamam veya sınırlarımı asla aşmam.,Hırslanırım ve mutlaka kazanana kadar peş peşe yeni maçlara girmeye devam ederim.,Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Nadiren (Ayda 1-2 kez),"Hiç etkilemez, anında unuturum.",PEGI nedir bilmiyorum,Kararsızım,Oyunda daha hızlı ilerlemek veya diğer oyunculardan güçlü olmak için.,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum
Erkek,18-22,3-5 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",250 TL'den az,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,"Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)",Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Bazen (Ayda birkaç kez),"Hiç etkilemez, anında unuturum.","Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,"İçeriği belli olan, doğrudan istediğim bir eşyayı/kostümü satın almak için.",Neredeyse her gün / Her gün,Kesinlikle destekliyorum
Erkek,18-22,3-5 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Tamamen rahatlatır, stresimi alır.",Hiçbir zaman,"Hiç etkilemez, anında unuturum.","Evet, her zaman",Kesinlikle destekliyorum,Oyun içi harcama yapmam.,Neredeyse her gün / Her gün,Kesinlikle destekliyorum
Erkek,36-45,5 saatten fazla,"Oyun Konsolu (PlayStation, Xbox, Nintendo vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",1000 TL ve üzeri,"Bütçemi zorlar, diğer ihtiyaçlarımdan kısmam gerekir.",Sinirimden saatlerce bilgisayarın/telefonun başından kalkamam.,Rekabet etmek ve başarmak hissiyatı,"Oynayamadığım zamanlarda çabuk canım sıkılır veya huzursuz/gergin hissederim, .",Neredeyse her gün,Günlük hayatta öfke patlamaları yaşamama sebep olur.,"Hayır, dikkat etmiyorum",Kesinlikle desteklemiyorum,Oyunda daha hızlı ilerlemek veya diğer oyunculardan güçlü olmak için.,Neredeyse her gün / Her gün,Kesinlikle destekliyorum
Kadın,18-22,1-3 saat,"Mobil Cihaz (Akıllı Telefon, Tablet)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.","Gerçek hayatın stresinden, sorunlarından uzaklaşmak (Kaçış)",Zorlu maçlarda veya rekabet gerektiren anlarda zaman zaman stres yaşadığım olur.,Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,"Hayır, dikkat etmiyorum",Destekliyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum
Erkek,36-45,1 saatten az,"Mobil Cihaz (Akıllı Telefon, Tablet)","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Nadiren (Ayda 1-2 kez),"Hiç etkilemez, anında unuturum.","Evet, her zaman",Kesinlikle destekliyorum,Oyun içi harcama yapmam.,Neredeyse her gün / Her gün,Kesinlikle destekliyorum
Erkek,36-45,1-3 saat,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.",Sadece eğlenmek ve vakit geçirmek,Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Hiçbir zaman,"Hiç etkilemez, anında unuturum.","Hayır, dikkat etmiyorum",Kesinlikle destekliyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum
Erkek,46-55,3-5 saat,"Mobil Cihaz (Akıllı Telefon, Tablet)","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Tamamen rahatlatır, stresimi alır.",Hiçbir zaman,Sadece anlık olarak canım sıkılır.,"Evet, her zaman",Kesinlikle destekliyorum,Oyun içi harcama yapmam.,Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum
Kadın,29-35,1-3 saat,"Mobil Cihaz (Akıllı Telefon, Tablet)","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,Nötr (Oynamak veya oynamamak genel ruh halimi pek değiştirmez).,Bazen (Ayda birkaç kez),Sadece anlık olarak canım sıkılır.,Bazen,Kesinlikle destekliyorum,Oyun içi harcama yapmam.,Neredeyse her gün / Her gün,Kesinlikle destekliyorum
Kadın,36-45,1 saatten az,"Mobil Cihaz (Akıllı Telefon, Tablet)","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Biraz moralim bozulur ama oyuna ara veririm.,Sadece eğlenmek ve vakit geçirmek,"Oynadığım sürece rahatlarım, kafam dağıtır.",Hiçbir zaman,"Hiç etkilemez, anında unuturum.",Bazen,Destekliyorum,Oyun içi harcama yapmam.,Hiçbir zaman,Kesinlikle destekliyorum
Erkek,29-35,1-3 saat,"Mobil Cihaz (Akıllı Telefon, Tablet)","Strateji & MOBA (League of Legends - LoL, Clash of Clans, Wild Rift vb.)",250 - 1000 TL arası,Hiç harcamam veya sınırlarımı asla aşmam.,"Sadece kaybımı telafi etmek için bir maç daha atar, sonra çıkarım.",Rekabet etmek ve başarmak hissiyatı,Zorlu maçlarda veya rekabet gerektiren anlarda zaman zaman stres yaşadığım olur.,Hiçbir zaman,"Hiç etkilemez, anında unuturum.",Bazen,Kararsızım,Oyunda daha hızlı ilerlemek veya diğer oyunculardan güçlü olmak için.,Neredeyse her gün / Her gün,Kesinlikle destekliyorum
Kadın,46-55,1 saatten az,"Mobil Cihaz (Akıllı Telefon, Tablet)","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Tamamen rahatlatır, stresimi alır.",Hiçbir zaman,"Hiç etkilemez, anında unuturum.","Evet, her zaman",Kesinlikle destekliyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum
Erkek,29-35,1 saatten az,"Oyun Konsolu (PlayStation, Xbox, Nintendo vb.)","Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",Hiç harcama yapmam,Hiç harcamam veya sınırlarımı asla aşmam.,Sakince oyunu kapatır veya başka bir işe geçerim.,Sadece eğlenmek ve vakit geçirmek,"Tamamen rahatlatır, stresimi alır.",Hiçbir zaman,"Hiç etkilemez, anında unuturum.",Bazen,Destekliyorum,Oyun içi harcama yapmam.,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum
