oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,indirilme_sayisi,tur_adi,URL
Sonic Forces - Koşu Oyunu,"4,2",0,3,9 Mart 2026,,"Aksiyon, Platform, Koşucu",https://play.google.com/store/apps/details?id=com.sega.sprint
Fluvsies - A Fluff to Luv,"4,2",0,3,19 Mayıs 2026,,"Simülasyon, Bakım, Evcil hayvan, Basit",https://play.google.com/store/apps/details?id=com.tutotoons.app.fluvsies.free
Bebek Pandanın Süpermarketi,"4,2",0,3,9 Mart 2026,,"Simülasyon, Yaşam Tarzı, Basit, Mini oyunlar",https://play.google.com/store/apps/details?id=com.sinyee.babybus.shopping
Küçük Panda'nın Rüya Diyarı,"4,3",0,3,1 Mayıs 2026,,"Simülasyon, Basit",https://play.google.com/store/apps/details?id=com.sinyee.babybus.cube.global
Baby Panda's Town: Ev,"3,5",0,3,2 Ağustos 2024,,"Simülasyon, Yaşam Tarzı, Basit, Mini oyunlar",https://play.google.com/store/apps/details?id=com.sinyee.babybus.marketIII
Hello Kitty Nail Salon,"4,1",0,3,2 Mart 2026,,"Simülasyon, Yaşam Tarzı, Manikür/pedikür salonu, Basit",https://play.google.com/store/apps/details?id=com.budgestudios.HelloKittyNailSalon
Boyama ve öğren,"3,9",0,3,23 Nisan 2026,,"Eğitim, Matematik, Basit",https://play.google.com/store/apps/details?id=com.orange.coloring.learn.kids
Toca Boca Jr: Fun Kids Games,"3,7",0,3,22 Nisan 2026,,"Simülasyon, Basit",https://play.google.com/store/apps/details?id=com.tocaboca.tocakitchen2
Bebek Oyunları: 1-5 yaş türkçe,"4,3",0,3,23 Mart 2026,,"Eğitim, Dil, ABC",https://play.google.com/store/apps/details?id=com.rvappstudios.baby.games.piano.phone.kids
Barbie Dreamhouse Adventures,"3,9",0,3,17 Mayıs 2026,,"Simülasyon, Yaşam Tarzı, Tasarım",https://play.google.com/store/apps/details?id=com.budgestudios.googleplay.BarbieDreamhouse
Bebek Panda'nın Çocuk Oyunları,"4,1",0,3,19 Mart 2026,,"Basit, Mini oyunlar",https://play.google.com/store/apps/details?id=com.sinyee.babybus.recommendapp.global
Crostic－Zeka Kelime Bulmacası,"4,4",0,3,16 Nisan 2026,,"Kelime, Arama, Basit",https://play.google.com/store/apps/details?id=com.severex.cross.word.puzzle.logic
Adam Asmaca - 2 Player Games,"4,7",0,3,15 Mayıs 2026,,"Kelime, Arama, Basit",https://play.google.com/store/apps/details?id=hang.man.word.guessing.games
Kelime Oyunu | Bulmaca,"4,2",0,3,29 Nisan 2026,,"Kelime, Arama, Basit",https://play.google.com/store/apps/details?id=com.trkstudio.wordgame
Rollance : Macera Topları,"4,0",0,3,6 Mayıs 2026,,"Aksiyon, Platform, Basit",https://play.google.com/store/apps/details?id=com.atesgamestudio.rollance
Goal Battle - PvP Futbol Oyunu,"4,5",0,3,10 Mayıs 2026,,"Spor, Futbol",https://play.google.com/store/apps/details?id=com.mage.goalbattle
Mini Soccer Star - Futbol 26,"4,6",0,3,2 Mayıs 2026,,"Spor, Futbol, Basit",https://play.google.com/store/apps/details?id=com.touch2goal.soccer
Pro League Soccer,"3,7",0,3,21 Mayıs 2026,,"Spor, Futbol, Basit",https://play.google.com/store/apps/details?id=com.rasugames.pls
Tile Explorer - Üçlü Eşleşme,"4,7",0,3,15 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.oakever.tiletrip
Block Crush!,"4,7",0,3,11 Mayıs 2026,,"Bulmaca, Blok",https://play.google.com/store/apps/details?id=com.wood.block.sudoku.puzzle.bm
SCHOOLBOY RUNAWAY - STEALTH,"4,2",0,16,1 Mayıs 2026,,"Bulmaca, Kaçış",https://play.google.com/store/apps/details?id=com.LinkedSquad.SchoolBoyRunaway
Dream Resort,"4,7",0,3,5 Nisan 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.dream.resort.candy.match.mania.gp
Sort Match™:3D Goods Puzzle,"4,3",0,3,17 Şubat 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.sortmatch.triple.drop.goods.puzzle
Magic Sort!,"4,4",0,3,19 Mayıs 2026,,"Bulmaca, Sıralama",https://play.google.com/store/apps/details?id=com.grandgames.magicsort
Merge Fashion: Romance Story,"4,7",0,12,18 Mayıs 2026,,"Simülasyon, Yaşam Tarzı, Giysi Deneme",https://play.google.com/store/apps/details?id=com.infiniplay.merge.fashion.romance.story
Tile Club - Eşleme Oyunu,"4,8",0,3,23 Nisan 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.gamovation.tileclub
Zombie Catchers - Zombiler,"4,5",0,7,15 Mayıs 2026,,"Aksiyon, Platform, Hack and slash, Basit",https://play.google.com/store/apps/details?id=fi.twomenandadog.zombiecatchers
World Soccer Champs,"4,7",0,3,15 Mart 2026,,"Spor, Koçluk, Basit",https://play.google.com/store/apps/details?id=com.monkeyibrow.worldsoccerchamps
Real Cricket™,"4,3",0,3,13 Aralık 2025,,"Spor, Kriket, Basit",https://play.google.com/store/apps/details?id=com.nautilus.realcricket
Iron Marines Offline Strategy,"4,7",0,12,11 Ocak 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.ironhidegames.android.ironmarines
Kingdom Clash - Strateji Oyunu,"4,6",0,12,13 Mayıs 2026,,"Strateji, Taktik",https://play.google.com/store/apps/details?id=azurgames.idle.war
Gear Defenders,"4,3",0,7,8 Nisan 2026,,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.iogame.gearworld
Idle Miner Tycoon Maden Oyunu,"4,6",0,3,4 Mayıs 2026,,"Simülasyon, Yönetim, İş adamı",https://play.google.com/store/apps/details?id=com.fluffyfairygames.idleminertycoon
Truck Manager - 2026,"4,5",0,3,Truck Manager - 2026,,"Simülasyon, Yönetim, İş adamı",https://play.google.com/store/apps/details?id=com.trophygames.truckmanager
My Perfect Hotel,"4,4",0,3,20 Mayıs 2026,,"Simülasyon, Yönetim, İş adamı, Basit",https://play.google.com/store/apps/details?id=com.master.hotelmaster
Küçük Panda Restoran,"3,9",0,3,19 Aralık 2020,,"Simülasyon, Yönetim, Restoran",https://play.google.com/store/apps/details?id=com.sinyee.babybus.restaurant
Train Station 2 Tren Strateji,"4,1",0,3,9 Mart 2026,,"Simülasyon, Yönetim, İş adamı",https://play.google.com/store/apps/details?id=com.pixelfederation.ts2
Küçük Panda'nın Çiftliği,"4,1",0,3,2 Şubat 2026,,"Simülasyon, Yönetim, Çiftçilik, Basit",https://play.google.com/store/apps/details?id=com.sinyee.babybus.garden
TopTop: Oyunlar ve Sohbet,"4,0",0,3,8 Mayıs 2026,,,https://play.google.com/store/apps/details?id=com.game.friends.android
Minecraft Deneme Sürümü,"3,8",0,7,15 Mayıs 2026,,"Simülasyon, Sandbox",https://play.google.com/store/apps/details?id=com.mojang.minecrafttrialpe
Pixel Art - Boyama Oyunları,"4,6",0,3,11 Mayıs 2026,,"Bulmaca, Boyama, Basit",https://play.google.com/store/apps/details?id=com.europosit.pixelcoloring
Drive Ahead! - Araba Savaşları,"4,1",0,7,9 Nisan 2026,,"Yarış, Çarpışan araba",https://play.google.com/store/apps/details?id=com.dodreams.driveahead
Hungry Shark Evolution,"4,2",0,16,19 Mayıs 2026,,"Aksiyon, Aksiyon-macera, Hayatta Kalma, Arcade",https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution
Temple Run 2: Endless Escape,"4,1",0,3,4 Mayıs 2026,,"Aksiyon, Platform, Koşucu, Arcade",https://play.google.com/store/apps/details?id=com.imangi.templerun2
Hill Climb Racing 2,"4,2",0,3,3 Mayıs 2026,,"Yarış, Çarpışan araba, Arcade",https://play.google.com/store/apps/details?id=com.fingersoft.hcr2
Zombie Tsunami,"4,4",0,7,5 Mayıs 2026,,"Aksiyon, Platform, Koşucu, Arcade",https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami
Piano Game: Classic Music Song,"3,9",0,3,3 Mart 2026,,"Müzik, Performans, Arcade",https://play.google.com/store/apps/details?id=game.piano.music.tiles.challenge
Jewel Blast Time - Match 3,"4,3",0,3,23 Mart 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=puzzlegame.buildfun.jewelmatch
Candy Crush Soda Saga,"4,4",0,3,27 Nisan 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.king.candycrushsodasaga
Farm Heroes Saga,"4,5",0,3,9 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.king.farmheroessaga
Vector,"4,6",0,7,11 Mayıs 2026,,"Spor, Parkur, Basit",https://play.google.com/store/apps/details?id=com.nekki.vector
Darts of Fury,"4,6",0,3,6 Mayıs 2026,,"Spor, Dart, Basit",https://play.google.com/store/apps/details?id=uk.co.yakuto.DartsOfFury
Hunter Raid: Hareketsiz RPG,"4,4",0,7,27 Kasım 2025,,"Rol Yapma, Tıklama RYO",https://play.google.com/store/apps/details?id=studio.gameberry.idlehunter
NTE: Neverness to Everness,"4,5",0,12,18 Mayıs 2026,,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.hottagames.nte
Dicero,"4,7",0,7,10 Mayıs 2026,,Gündelik,https://play.google.com/store/apps/details?id=com.bailing.lark.roll.dev
Ürünler Akını! 3D Sıralama,"4,5",0,3,13 Mart 2026,,Bulmaca,https://play.google.com/store/apps/details?id=com.triple.match.goods.sort.puzzle.game
Catch & Build: Land of Pals,"2,5",0,7,2 Mayıs 2026,,Strateji,https://play.google.com/store/apps/details?id=com.sgclglo.google
Clash of Critters,"3,8",0,3,21 Mayıs 2026,,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.farlightgames.pgame.gp
Genesis War,"1,7",0,12,13 Mayıs 2026,,Rol Yapma,https://play.google.com/store/apps/details?id=com.linegames.gmg
Cats&Soup : Merge Magic Recipe,"4,6",0,3,28 Nisan 2026,,"Bulmaca, Birleştirme, Basit",https://play.google.com/store/apps/details?id=com.hidea.cat.magicrecipe
Karo Lezzeti: Eşleştirme Oyunu,,0,3,,,Bulmaca,https://play.google.com/store/apps/details?id=com.tile.flavor.puzzle.match.triple.sort.game
Where Winds Meet,"4,0",0,16,19 Mart 2026,,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.netease.yysls
Hero Park 2,,0,7,,,Simülasyon,https://play.google.com/store/apps/details?id=com.FunFlavorGames.HeroPark2
Conquest Tactics: Realm of Sin,,"399,99",3,,,Masa oyunları,https://play.google.com/store/apps/details?id=com.SingularSunshineStudios.ConquestTactics
Gökyüzünün Tüccarı,,"199,00",3,,,Simülasyon,https://play.google.com/store/apps/details?id=com.astralride.mots
Tokyo Ghoul : Break the Chains,"4,4",0,7,25 Aralık 2025,,"Rol Yapma, Sıraya dayalı RYO",https://play.google.com/store/apps/details?id=com.funcat.tgbtceu
War Legends:RTS strateji oyunu,,0,3,,,"Strateji, Şehir kurma ve savaş, Basit",https://play.google.com/store/apps/details?id=com.geargames.warlegends.rts.strategy.game
ALLfiring,"4,5",0,3,15 Mayıs 2026,,Rol yapma,https://play.google.com/store/apps/details?id=com.genmugame.prometheus
Punishing: Gray Raven,"4,4",0,12,27 Nisan 2026,,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.kurogame.gplay.punishing.grayraven.en
FairyTale Quest,"3,1",0,7,19 Mayıs 2026,,"Rol Yapma, Roguelike oyunlar",https://play.google.com/store/apps/details?id=com.linegames.fq
Little Corner Tea House,,0,3,,,"Simülasyon, Zaman yönetimi, Basit",https://play.google.com/store/apps/details?id=com.loongcheer.unicon.littlecornerteahouse
Farm Rush: Hasat Patronu,"4,9",0,3,23 Mayıs 2026,,Arcade,https://play.google.com/store/apps/details?id=com.miniclip.farmrush
Hello Neighbor Nicky's Diaries,"3,9",0,7,9 Mayıs 2026,,"Aksiyon, Aksiyon-macera, Hayatta kalma ve korku",https://play.google.com/store/apps/details?id=com.tinybuildgames.hndiaries
The Ghost - Multiplayer Horror,"4,2",0,16,18 Mart 2026,,"Aksiyon, Aksiyon-macera, Hayatta kalma ve korku",https://play.google.com/store/apps/details?id=com.Gameplier.TheGhost
Gözler:Gerilim Ürpertici Korku,"4,5",0,12,16 Nisan 2026,,"Aksiyon, Aksiyon-macera, Hayatta kalma ve korku",https://play.google.com/store/apps/details?id=com.eyesthegame.eyes
Jewels of Egypt: Eşleme Oyunu,"4,6",0,3,12 Ocak 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.g5e.jewelsofegypt.android
Jewel Hunter - Match 3 Games,"4,7",0,3,16 Ocak 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.phonemaster.jewelhunter
Resonance Solstice,"4,2",0,7,31 Ekim 2025,,"Rol Yapma, MMORPG",https://play.google.com/store/apps/details?id=com.ujoy.reso
Looney Tunes™ World of Mayhem,"4,0",0,7,18 Mayıs 2026,,"Rol Yapma, Sıraya dayalı RYO",https://play.google.com/store/apps/details?id=com.aqupepgames.projectpepe
Asphalt 8: Gerçek Yarış Oyunu,"4,4",0,7,15 Mayıs 2026,,"Yarış, Araba yarışı",https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftA8HM
Earn to Die 2,"4,6",0,12,8 Mayıs 2026,,"Yarış, Çarpışan araba",https://play.google.com/store/apps/details?id=com.notdoppler.earntodie2
CSR Racing 2 - Car Racing Game,"4,5",0,3,30 Nisan 2026,,"Yarış, Kalkış (drag) yarışı, Basit",https://play.google.com/store/apps/details?id=com.naturalmotion.customstreetracer2
Dirt Bike Unchained: MX Racing,"3,6",0,3,16 Nisan 2026,,"Yarış, Çarpışan araba, Basit",https://play.google.com/store/apps/details?id=com.redbull.moto
Monster Legends,"4,4",0,7,10 Mayıs 2026,,"Simülasyon, Yetiştirme",https://play.google.com/store/apps/details?id=es.socialpoint.MonsterLegends
Combat Quest - Archer Hero RPG,"3,5",0,7,10 Şubat 2026,,"Rol Yapma, Roguelike oyunlar",https://play.google.com/store/apps/details?id=com.chillgaming.combatquest
Wild Sky TD: Tower Defense RPG,"4,6",0,3,,,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.wildsky.td
Diablo Immortal,"4,8",0,16,17 Mayıs 2026,,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.blizzard.diablo.immortal
Decor Life - Home Design Game,"4,2",0,3,2 Mayıs 2026,,"Simülasyon, Yaşam Tarzı, Tasarım, Basit",https://play.google.com/store/apps/details?id=com.decor.life
Super Bear Adventure,,0,12,,,Macera,https://play.google.com/store/apps/details?id=com.gt.crazybear.adventureworldgame
Ultimate Bear Adventure Super,,0,12,,,Macera,https://play.google.com/store/apps/details?id=com.bbs.scary.playtoys.factory.escape
Super Bear Adventure,,0,3,,,Macera,https://play.google.com/store/apps/details?id=com.hj.brave.bear.fun.game
Ultimate Bear adventure super,,0,7,,,Macera,https://play.google.com/store/apps/details?id=com.et.ultimate.bear.running.game
Who Is Your Daddy?,,0,12,,,Macera,https://play.google.com/store/apps/details?id=com.mole.yellowboy.escape
I am Funny Cat Sim,,0,12,,,Macera,https://play.google.com/store/apps/details?id=com.power.wash.simulator.game
Kick the Buddy: Second Kick,"4,0",0,12,4 Nisan 2026,,"Aksiyon, Basit, Çok basit",https://play.google.com/store/apps/details?id=com.playgendary.ktbremaster
Scritchy Scratchy,"4,4","249,00",18,30 Mart 2026,,"Simülasyon, Tıklama",https://play.google.com/store/apps/details?id=com.fundaygames.scritchyscratchy
Sunken Stones,,0,7,,,Strateji,https://play.google.com/store/apps/details?id=com.spritewrench.sunkenstones
Rumble Racer,,0,3,,,Yarış,https://play.google.com/store/apps/details?id=com.blyts.rumblerace
Bubble Hero: The Five Elements,,"104,99",3,Mini Coach Bus Euro Bus 2026,,Aksiyon,https://play.google.com/store/apps/details?id=com.DragonarkStudios.BubbleHero
Card Crawl 2,"3,8",0,3,6 Nisan 2026,,Kart,https://play.google.com/store/apps/details?id=com.tinytouchales.crawlitaire
Nowhere Prophet,,0,12,,,Rol yapma,https://play.google.com/store/apps/details?id=com.SharkbombStudios.NowhereProphet
Neon Fusion,,0,12,,,Arcade,https://play.google.com/store/apps/details?id=com.cregongames.neonfusion
Iron Roads - Railroad Manager,,"264,99",3,,,Simülasyon,https://play.google.com/store/apps/details?id=com.cowleyforniastudios.ironroads.android
Vector Block,,0,3,,,Strateji,https://play.google.com/store/apps/details?id=com.dedb8.vbock
Wednesdays Mobile,"5,0",0,18,9 Mayıs 2026,,Macera,https://play.google.com/store/apps/details?id=com.ArteExperience.wednesdays
Bulmaca Kutusu - Aç Çelik Kasa,"4,5",0,3,14 Nisan 2026,,"Bulmaca, Mantık",https://play.google.com/store/apps/details?id=com.peaksel.openthesafebox_3dsafebreaker_thevault
Sky: Children of the Light,"4,4",0,7,13 Mayıs 2026,,"Rol Yapma, MMORPG",https://play.google.com/store/apps/details?id=com.tgc.sky.android
The Battle of Polytopia,"4,4",0,7,3 Nisan 2026,,"Strateji, 4X, Basit",https://play.google.com/store/apps/details?id=air.com.midjiwan.polytopia
Underground Blossom,"4,9","134,99",12,28 Eylül 2023,,"Macera, Bulmacalı macera",https://play.google.com/store/apps/details?id=air.com.RustyLake.UndergroundBlossom
The White Door,"4,8","129,99",12,30 Temmuz 2021,,"Macera, Basit",https://play.google.com/store/apps/details?id=air.com.RustyLake.WhiteDoor
purple,"4,3",0,3,17 Ağustos 2024,,"Bulmaca, Mantık",https://play.google.com/store/apps/details?id=air.com.bartbonte.purple
LEVELS II,"4,0",0,3,16 Ocak 2026,,Bulmaca,https://play.google.com/store/apps/details?id=app.flow.levelsII
Brewtopia: Grow Coffee Beans,"3,4",0,3,4 Mart 2025,,"Simülasyon, Yönetim, Çiftçilik, Basit",https://play.google.com/store/apps/details?id=ca.lbcstudios.coffee
The Room Three,"4,9","150,00",7,18 Aralık 2023,,"Macera, Bulmacalı macera",https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom3
quadline,"4,5",0,3,24 Nisan 2026,,"Bulmaca, Mantık, Basit",https://play.google.com/store/apps/details?id=com.IvanKovalov.quadline.android
Time Princess: İnci Kız,"4,7",0,3,24 Mart 2026,,"Simülasyon, Yaşam Tarzı, Giysi Deneme, Basit",https://play.google.com/store/apps/details?id=com.igg.android.dressuptimeprincess
Disney Solitaire,"4,5",0,3,2 Nisan 2026,,"Simülasyon, Yaşam Tarzı, Tasarım",https://play.google.com/store/apps/details?id=com.superplaystudios.disneysolitairedreams
Bebek Panda'nın Şehri: Yaşam,"3,7",0,3,12 Şubat 2020,,"Simülasyon, Yaşam Tarzı",https://play.google.com/store/apps/details?id=com.sinyee.babybus.career
Animals & Coins: Animal Run,"4,7",0,3,29 Nisan 2026,,Macera,https://play.google.com/store/apps/details?id=com.innplaylabs.animalkingdomraid
City of Crime: Gang Wars,"4,3",0,18,23 Nisan 2026,,"Strateji, 4X, Basit",https://play.google.com/store/apps/details?id=com.fingerfun.coc.gplay
